RowId,Location
1,79.278702
2,79.278702
3,79.278702
4,79.278702
5,79.278702
6,79.278702
7,79.278702
8,79.278702
9,79.278702
10,79.278702
11,79.278702
12,79.278702
13,79.278702
14,79.278702
15,79.278702
16,79.278702
17,79.278702
18,79.278702
19,79.278702
20,79.278702
21,79.278702
22,79.278702
23,79.278702
24,79.278702
25,79.278702
26,79.278702
27,79.278702
28,79.278702
29,79.278702
30,79.278702
31,81.782150
32,81.782150
33,81.782150
34,81.782150
35,81.782150
36,81.782150
37,81.782150
38,81.782150
39,81.782150
40,81.782150
41,81.782150
42,81.782150
43,81.782150
44,81.782150
45,81.782150
46,81.782150
47,81.782150
48,81.782150
49,81.782150
50,81.782150
51,81.782150
52,81.782150
53,81.782150
54,81.782150
55,81.782150
56,81.782150
57,81.782150
58,81.782150
59,81.782150
60,81.782150
61,79.941093
62,79.941093
63,79.941093
64,79.941093
65,79.941093
66,79.941093
67,79.941093
68,79.941093
69,79.941093
70,79.941093
71,79.941093
72,79.941093
73,79.941093
74,79.941093
75,79.941093
76,79.941093
77,79.941093
78,79.941093
79,79.941093
80,79.941093
81,79.941093
82,79.941093
83,79.941093
84,79.941093
85,79.941093
86,79.941093
87,79.941093
88,79.941093
89,79.941093
90,79.941093
91,81.759392
92,81.759392
93,81.759392
94,81.759392
95,81.759392
96,81.759392
97,81.759392
98,81.759392
99,81.759392
100,81.759392
101,81.759392
102,81.759392
103,81.759392
104,81.759392
105,81.759392
106,81.759392
107,81.759392
108,81.759392
109,81.759392
110,81.759392
111,81.759392
112,81.759392
113,81.759392
114,81.759392
115,81.759392
116,81.759392
117,81.759392
118,81.759392
119,81.759392
120,81.759392
121,80.654419
122,80.654419
123,80.654419
124,80.654419
125,80.654419
126,80.654419
127,80.654419
128,80.654419
129,80.654419
130,80.654419
131,80.654419
132,80.654419
133,80.654419
134,80.654419
135,80.654419
136,80.654419
137,80.654419
138,80.654419
139,80.654419
140,80.654419
141,80.654419
142,80.654419
143,80.654419
144,80.654419
145,80.654419
146,80.654419
147,80.654419
148,80.654419
149,80.654419
150,80.654419
151,81.786903
152,81.786903
153,81.786903
154,81.786903
155,81.786903
156,81.786903
157,81.786903
158,81.786903
159,81.786903
160,81.786903
161,81.786903
162,81.786903
163,81.786903
164,81.786903
165,81.786903
166,81.786903
167,81.786903
168,81.786903
169,81.786903
170,81.786903
171,81.786903
172,81.786903
173,81.786903
174,81.786903
175,81.786903
176,81.786903
177,81.786903
178,81.786903
179,81.786903
180,81.786903
181,81.059494
182,81.059494
183,81.059494
184,81.059494
185,81.059494
186,81.059494
187,81.059494
188,81.059494
189,81.059494
190,81.059494
191,81.059494
192,81.059494
193,81.059494
194,81.059494
195,81.059494
196,81.059494
197,81.059494
198,81.059494
199,81.059494
200,81.059494
201,81.059494
202,81.059494
203,81.059494
204,81.059494
205,81.059494
206,81.059494
207,81.059494
208,81.059494
209,81.059494
210,81.059494
211,80.679688
212,80.679688
213,80.679688
214,80.679688
215,80.679688
216,80.679688
217,80.679688
218,80.679688
219,80.679688
220,80.679688
221,80.679688
222,80.679688
223,80.679688
224,80.679688
225,80.679688
226,80.679688
227,80.679688
228,80.679688
229,80.679688
230,80.679688
231,80.679688
232,80.679688
